Description,Search name,Item Segment,Total available,Financial cost amount,Inventory Part
Belt Set,153-5625,Power,7,407224.38,belt
Bleed Nipple Protective,W110040130,Machines,2,67.64,Other
Body As-pist 3412,1607992,Power,1,53403.42,Other
Body Ass. 197-3765,Body Ass. 197-3765,,3,1049595.6,Other
Bolt,8T-4971,,4,12,u-bolt
Bolt,7X-0409,Power/Remove,64,47324.54,u-bolt
Bolt,8C-8581,Power/Remove,48,40806.81,u-bolt
Bolt,6V8337,Machines,6,4336.08,u-bolt
Bolt,8T-4195,,8,24,u-bolt
Bolt,B040861245,Machines,18,833.04,u-bolt
Bolt,0T-0924,Power,8,624.8,u-bolt
Bolt,8S-4757,Power,6,11982.96,u-bolt
Bolt,8C8428,power,2,6,u-bolt
Bolt,8S2332,Machines,40,25785.02,u-bolt
Bolt,9x-2068,Power,5,25855.94,u-bolt
Bolt,156-2603,Power/Remove,51,95878.73,u-bolt
Bolt,9L-8925,Power,112,11655.48,u-bolt
Bolt,236-0484,Power,7,52314.53,u-bolt
Bolt,8C-8589,Power,6,10407.66,u-bolt
Bolt,0S-1590,Power,12,800.23,u-bolt
Bolt,B040911020,Machines,30,720.9,u-bolt
Bolt,6V-2751,Power/Remove,48,24858.08,u-bolt
Bolt,2N-2765,Power/Remove,24,19315.87,u-bolt
Bolt 12 Point,168-2103,Machine/Remove,4,206279.6,bolt
Bolt 12 Point,162-6466,Power/Remove,59,309337.01,bolt
Bolt Bellow,5P-2755,Power,7,6851.75,bolt
Bolt Exhaust,5L-6887,Power/Remove,1,738.12,bolt
Bolt M24,B040962465,Machines,4,1331.44,bolt
Bolt Point Head,1310420,,2,6,bolt
Bolt Tappet cover C32,7X0440,Power,30,8920.8,bolt
Bolt for MG 921 (SEM),5522730,Machines,3,1474.65,bolt
Bolt-Master Lnk,6V-1725,Logistics,2,1678.54,bolt
Bolts,9L-7373,Power,64,100392.96,Other
Bolts,9W-4480,Power,2,2732.3,Other
Bolts,7L-6443,Power/Remove,4,15841.2,Other
Boom Length Cable (40M) STC300- SANY,1160BoomLengthCable,Machines,1,30000,Other
Boot Switch Forklift,14401-02440,Machines,5,4970.47,Other
Bowl,SN612600082030,Machines,2,3108,Other
Bracket,3638561,power,1,3,Other
Bracket As,363-7478,,1,3,Other
Brake Lamp Switch JN150-3720010,W370400000,MHE,6,3834.6,brake
Brake Slice (W44000180),573-9284,Machines,74,210965.06,brake
Breaker,6T-3645,Machines,2,23623.49,Other
Breather,9G-5127,Machine/Remove,1,1666.95,Other
Breather A,4W-3027,Machine/Remove,2,20575.06,Other
Breather Air,03349-25000,Machines,1,1496.98,Other
Breather Gp Crank,2W-9162,Power,1,6034.41,Other
Bridge 100-6889 (3412),Bridge 100-6889,Power,24,124934.64,Other
Bridge Float,265-7538,Power/Remove,3,27970.48,Other
Bridge Power Battery (120AMP),RB180,Logistics/Power/Remove,1,9577.22,Other
Bridge Power Battery (45 AMP),RB75,Logistics/Power/Remove,14,52531.71,Other
Brush,8C-3655,Machines,11,27745.06,Other
Buffer,290-4619,Power/Remove,2,245678.28,Other
Buffering Rubber-SANY,BufferingRubber,Machines,12,36000,Other
Bush MG,MG19026014,Machines,5,5785,Other
Bush Of Camshaft,W010251960,MHE,5,3204.25,Other
Bush attachment with PTO shaft,10011759,Machines,1,6105.66,Other
Bushing,4M-1896,Machines,7,3280.41,Other
Bushing,7T-3267,Power,14,19078.53,Other
Bushing,Z310010561,Machines,4,9252.45,Other
Bushing,1M-9968,Machines,7,1978.37,Other
Bushing (W010250520),537-0610,MHE,6,5183.46,Other
Bushing End,9G-4101,Power/Remove,15,8745.9,Other
Bushing Terminal,3L-3380,Machines,7,1074.97,Other
"Butterfly Valve 5""",ButterflyValve,Power,4,41440,Valve
Button,8F-8858,Power/Remove,84,87675.81,Other
Button,1546389,Power,3,11856.6,Other
By Pass G,146-0758,Power/Remove,1,164896.23,Other
